2026/06/21 14:00:59.285889 [QueueManager] POST /qm/ack took 15.781µs
2026/06/21 14:00:59.485470 [QueueManager] POST /qm/lease took 24.662µs
2026/06/21 14:00:59.485885 [QueueManager] POST /qm/ack took 13.041µs
2026/06/21 14:00:59.685434 [QueueManager] POST /qm/lease took 21.111µs
2026/06/21 14:00:59.685846 [QueueManager] POST /qm/ack took 12.981µs
2026/06/21 14:00:59.885445 [QueueManager] POST /qm/lease took 22.332µs
2026/06/21 14:00:59.886214 [QueueManager] POST /qm/ack took 15.681µs
2026/06/21 14:00:59.886684 [QueueManager] POST /brokers/heartbeat took 7.971µs
2026/06/21 14:01:00.086045 [QueueManager] POST /qm/lease took 41.102µs
2026/06/21 14:01:00.086403 [QueueManager] POST /qm/ack took 12.611µs
2026/06/21 14:01:00.285901 [QueueManager] POST /qm/lease took 19.391µs
2026/06/21 14:01:00.286227 [QueueManager] POST /qm/ack took 10.16µs
2026/06/21 14:01:00.485921 [QueueManager] POST /qm/lease took 26.242µs
2026/06/21 14:01:00.486316 [QueueManager] POST /qm/ack took 10.601µs
2026/06/21 14:01:00.685815 [QueueManager] POST /qm/lease took 18.111µs
2026/06/21 14:01:00.689046 [QueueManager] POST /qm/ack took 10.341µs
2026/06/21 14:01:00.885625 [QueueManager] POST /qm/lease took 53.063µs
2026/06/21 14:01:00.886051 [QueueManager] POST /qm/ack took 13.781µs
2026/06/21 14:01:01.085648 [QueueManager] POST /qm/lease took 22.562µs
2026/06/21 14:01:01.086023 [QueueManager] POST /qm/ack took 14.501µs
2026/06/21 14:01:01.285600 [QueueManager] POST /qm/lease took 28.202µs
2026/06/21 14:01:01.285963 [QueueManager] POST /qm/ack took 12.531µs
2026/06/21 14:01:01.485535 [QueueManager] POST /qm/lease took 22.111µs
2026/06/21 14:01:01.485973 [QueueManager] POST /qm/ack took 14.251µs
2026/06/21 14:01:01.685523 [QueueManager] POST /qm/lease took 17.821µs
2026/06/21 14:01:01.685922 [QueueManager] POST /qm/ack took 12.78µs
